FECHA;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24
17/02/2024;600,4707645;600,4707645;555,4707645;555,4707645;555,4707645;555,4707645;555,4707645;555,4707645;555,4707645;555,4707645;555,4707645;555,4707645;555,4707645;555,4707645;555,4707645;555,4707645;555,4707645;555,4707645;599,4707645;599,4707645;599,4707645;599,4707645;555,4707645;555,4707645
18/02/2024;545,6742399;545,6742399;535,6742399;535,6742399;535,6742399;535,6742399;535,6742399;535,6742399;535,6742399;535,6742399;535,6742399;535,6742399;535,6742399;535,6742399;535,6742399;535,6742399;545,6742399;545,6742399;585,6742399;589,6742399;589,6742399;610,7882399;585,6742399;550,6742399
19/02/2024;555,5232254;550,5232254;540,5232254;497,6492254;540,5232254;555,5232254;555,5232254;555,5232254;555,5232254;565,5232254;579,5232254;585,5232254;585,5232254;585,5232254;590,5232254;590,5232254;590,5232254;590,5232254;610,6372254;610,6372254;610,6372254;610,6372254;579,5232254;555,5232254
20/02/2024;577,4384219;550,4384219;531,0614219;531,0614219;550,4384219;581,4384219;581,4384219;581,4384219;590,4384219;590,4384219;590,4384219;590,4384219;590,4384219;581,4384219;590,4384219;590,4384219;590,4384219;590,4384219;611,4384219;611,4384219;590,4384219;590,4384219;590,4384219;577,4384219
21/02/2024;601,5542744;601,5542744;601,5542744;601,5542744;601,4402744;601,5542744;601,5542744;601,5542744;601,5542744;601,5542744;601,5542744;601,5542744;601,4402744;601,4402744;601,4402744;601,5542744;601,5542744;601,4402744;601,5542744;601,5542744;601,5542744;601,5542744;601,5542744;592,4402744
22/02/2024;473,8815197;473,8815197;473,8815197;229,1585197;293,9635197;502,3935197;473,8815197;531,6485197;502,3935197;502,3935197;502,3935197;531,6485197;531,6485197;531,6485197;552,3935197;594,3935197;594,3935197;502,3935197;531,6485197;602,3935197;594,3935197;557,3935197;557,3935197;502,3935197
23/02/2024;530,5558725;528,9458725;484,3288725;484,3288725;528,9458725;540,5558725;580,5558725;580,5558725;580,5558725;540,5558725;580,5558725;605,5558725;580,5558725;580,5558725;605,5558725;605,5558725;605,5558725;605,5558725;605,5558725;605,5558725;605,5558725;580,5558725;580,5558725;530,5558725
24/02/2024;580,4440786;555,4440786;555,4440786;540,4440786;540,4440786;555,4440786;555,4440786;555,4440786;580,4440786;580,4440786;580,4440786;590,4440786;590,4440786;605,4440786;600,9440786;600,9440786;605,4440786;605,4440786;640,4440786;640,4440786;605,4440786;605,4440786;605,4440786;590,4440786
25/02/2024;555,4512516;555,4512516;555,4512516;555,4512516;555,4512516;555,4512516;550,4512516;550,4512516;550,4512516;550,4512516;550,4512516;550,4512516;555,4512516;555,4512516;555,4512516;555,4512516;555,4512516;561,4512516;561,4512516;561,4512516;561,4512516;561,4512516;561,4512516;561,4512516
26/02/2024;548,4433267;530,8813267;500,4433267;500,4433267;500,4433267;557,4433267;557,4433267;558,4433267;558,4433267;558,4433267;559,4433267;559,4433267;559,4433267;559,4433267;600,9433267;600,9433267;600,9433267;600,9433267;600,9433267;600,9433267;600,9433267;600,9433267;570,4433267;559,4433267
27/02/2024;547,6355286;525,6355286;512,0055286;453,6355286;473,3565286;525,6355286;512,0055286;512,0055286;512,0055286;512,0055286;547,6355286;550,6355286;549,1355286;550,6355286;551,6355286;551,6355286;560,6355286;551,6355286;560,6355286;570,6355286;564,6355286;551,6355286;549,1355286;525,6355286
28/02/2024;482,1338155;232,5768155;129,0838155;128,7838155;129,0838155;503,8038155;482,1338155;508,7428155;519,9168155;508,7428155;519,9168155;528,8038155;528,8038155;555,8038155;558,8038155;559,8038155;568,8038155;559,8038155;568,8038155;568,8038155;568,8038155;568,8038155;558,8038155;519,9168155
29/02/2024;495,4510794;482,4770794;475,1630794;475,1630794;475,1630794;495,4510794;495,4510794;495,4510794;495,4510794;495,4510794;495,4510794;495,4510794;495,4510794;495,4510794;500,4510794;505,4510794;505,4510794;505,4510794;505,4510794;505,4510794;505,4510794;505,4510794;505,4510794;495,4510794
1/03/2024;469,0750415;469,0750415;469,0750415;408,9460415;469,0750415;475,5040415;479,1340415;479,1340415;479,1340415;479,1340415;479,1340415;493,9460415;493,9460415;493,9460415;494,9460415;494,9460415;494,9460415;494,9460415;497,9460415;513,9460415;497,9460415;494,9460415;493,9460415;493,9460415
2/03/2024;487,9827124;487,9827124;487,9827124;483,9827124;483,9827124;487,9827124;487,9827124;487,9827124;492,4827124;492,4827124;492,4827124;492,4827124;492,4827124;492,4827124;492,4827124;492,4827124;492,4827124;492,4827124;513,9827124;513,9827124;508,9827124;492,4827124;492,4827124;492,4827124
3/03/2024;481,4256451;481,4256451;473,9256451;473,9256451;473,9256451;473,9256451;467,9226451;463,9256451;463,9256451;438,9256451;448,8936451;467,9226451;467,9226451;473,9256451;473,9256451;473,9256451;473,9256451;481,4256451;481,4256451;487,9256451;487,9256451;481,4256451;481,4256451;481,4256451
4/03/2024;419,8550938;419,8550938;419,8550938;409,8550938;419,8550938;419,8550938;439,8550938;479,8550938;494,8550938;494,8550938;508,8550938;510,8550938;510,8550938;510,8550938;518,1780938;518,1780938;518,1780938;518,1780938;518,1780938;518,1780938;518,1780938;514,8550938;510,8550938;510,8550938
5/03/2024;505,7809772;498,7809772;479,7809772;479,7809772;479,7809772;512,5009772;512,5009772;512,5009772;538,7809772;538,7809772;538,7809772;538,7809772;538,7809772;538,7809772;543,7809772;563,4589772;563,4589772;563,4589772;613,7809772;618,7809772;613,7809772;563,4589772;543,7809772;538,7809772
6/03/2024;514,2738997;514,2738997;512,9808997;512,9808997;512,9808997;514,2738997;522,2258997;522,2258997;522,2258997;522,2258997;522,2258997;539,2738997;539,2738997;540,2738997;549,2738997;579,7738997;579,7738997;579,7738997;579,7738997;579,7738997;579,7738997;579,7738997;540,2738997;539,2738997
7/03/2024;529,7013909;529,7013909;529,7013909;529,7013909;529,7013909;529,7013909;529,7013909;529,7013909;529,7013909;529,7013909;544,2013909;544,2013909;544,2013909;549,2013909;551,2013909;622,3123909;622,3123909;622,3123909;622,3123909;622,3123909;622,3123909;622,3123909;549,2013909;544,2013909
8/03/2024;543,894725;524,394725;505,890725;505,890725;505,890725;543,894725;543,894725;543,894725;543,894725;543,894725;543,894725;543,894725;543,894725;543,894725;550,394725;550,394725;550,394725;550,394725;551,394725;569,394725;551,394725;550,394725;543,894725;543,894725
9/03/2024;549,1702515;534,1692515;534,1692515;534,1692515;534,1692515;534,1692515;534,1692515;534,1692515;547,1692515;547,1692515;548,1692515;548,1692515;547,1692515;534,1692515;534,1692515;534,1692515;534,1692515;548,1692515;549,1702515;619,2802515;548,1692515;548,1692515;547,1692515;534,1692515
