bdmem;objID2;fechaIni;fechaFin
CDNC;Sbm28665;2019-07-18 00:00:00.000;NULL
CDNC;Sbm28666;2019-07-18 00:00:00.000;NULL
CDNC;Sbm28667;2019-07-18 00:00:00.000;NULL
CDNC;Sbm28668;2022-09-22 00:00:00.000;NULL
CDNC;Sbm28669;2019-07-18 00:00:00.000;NULL
CDNC;Sbm28670;2019-07-18 00:00:00.000;NULL
CDNC;Sbm28672;2019-07-18 00:00:00.000;NULL
CDNC;Sbm28673;2021-05-20 00:00:00.000;NULL
CDNC;Sbm28674;2019-07-18 00:00:00.000;NULL
CDNC;Sbm28702;2019-07-25 00:00:00.000;NULL
CDNC;Sbm28703;2022-07-28 00:00:00.000;NULL
CDNC;Sbm28704;2019-07-25 00:00:00.000;NULL
CDNC;Sbm28705;2019-07-25 00:00:00.000;NULL
CDNC;Sbm28706;2022-03-24 00:00:00.000;NULL
CDNC;Sbm28707;2019-07-25 00:00:00.000;NULL
CDNC;Sbm28708;2019-07-25 00:00:00.000;NULL
CDNC;Sbm28709;2022-09-22 00:00:00.000;NULL
CDNC;Sbm28710;2019-07-25 00:00:00.000;NULL
CDNC;Sbm28712;2022-06-16 00:00:00.000;NULL
CDNC;Sbm28713;2019-07-25 00:00:00.000;NULL
CDNC;Sbm28714;2019-07-25 00:00:00.000;NULL
CDNC;Sbm28715;2019-07-25 00:00:00.000;NULL
CDNC;Sbm28716;2021-05-20 00:00:00.000;NULL
CDNC;Sbm28726;2019-07-25 00:00:00.000;NULL
CDNC;Sbm28727;2019-07-25 00:00:00.000;NULL
CDNC;Sbm28728;2019-07-25 00:00:00.000;NULL
CDNC;Sbm28729;2019-07-25 00:00:00.000;NULL
CDNC;Sbm28730;2019-07-25 00:00:00.000;NULL
CDNC;Sbm28731;2021-10-28 00:00:00.000;NULL
CDNC;Sbm28733;2019-07-25 00:00:00.000;NULL
CDNC;Sbm28762;2019-07-25 00:00:00.000;NULL
CDNC;Sbm28763;2019-07-25 00:00:00.000;NULL
CDNC;Sbm28764;2019-07-25 00:00:00.000;NULL
CDNC;Sbm28765;2019-07-25 00:00:00.000;NULL
CDNC;Sbm28766;2019-07-25 00:00:00.000;NULL
CDNC;Sbm31259;2020-01-23 00:00:00.000;NULL
CDNC;Sbm31262;2020-01-23 00:00:00.000;NULL
CDNC;Sbm31269;2020-01-23 00:00:00.000;NULL
CDNC;Sbm34848;2021-11-25 00:00:00.000;NULL
CDNC;Sbm34878;2021-05-20 00:00:00.000;NULL
CDNC;Sbm34879;2021-05-20 00:00:00.000;NULL
CDNC;Sbm34880;2021-05-20 00:00:00.000;NULL
CDNC;Sbm44759;2024-01-01 00:00:00.000;NULL
CDNG;Sbm02197;1995-07-20 00:00:00.000;NULL
CDNG;Sbm09846;2002-03-01 00:00:00.000;2024-04-10 00:00:00.000
CDNG;Sbm09955;2002-03-01 00:00:00.000;NULL
CDNG;Sbm09965;1995-07-20 00:00:00.000;NULL
CDNG;Sbm09981;2002-03-01 00:00:00.000;NULL
CDNG;Sbm16005;2002-03-01 00:00:00.000;2024-04-10 00:00:00.000
CDNG;Sbm16089;2002-03-01 00:00:00.000;NULL
CDNG;Sbm16141;2002-03-01 00:00:00.000;NULL
CNSC;Sbm02359;1995-07-20 00:00:00.000;NULL
CNSC;Sbm02360;2001-05-01 00:00:00.000;NULL
CNSC;Sbm02444;2016-12-22 00:00:00.000;NULL
CNSC;Sbm02650;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02651;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02652;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02653;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02654;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02655;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02656;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02657;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02658;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02659;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02660;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02661;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02662;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02663;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02664;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02665;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02666;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02667;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02668;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02669;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02670;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02671;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02672;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02673;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02674;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02675;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02676;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02677;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02678;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02679;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02680;2009-10-26 00:00:00.000;NULL
CNSC;Sbm02681;2009-11-04 00:00:00.000;NULL
CNSC;Sbm02682;2009-11-04 00:00:00.000;NULL
CNSC;Sbm02683;2009-11-04 00:00:00.000;NULL
CNSC;Sbm02684;2009-11-04 00:00:00.000;NULL
CNSC;Sbm02685;2009-11-04 00:00:00.000;NULL
CNSC;Sbm02686;2009-11-04 00:00:00.000;NULL
CNSC;Sbm02687;2009-11-04 00:00:00.000;NULL
CNSC;Sbm02688;2009-11-04 00:00:00.000;NULL
CNSC;Sbm02689;2009-11-04 00:00:00.000;NULL
CNSC;Sbm22246;2015-12-03 00:00:00.000;NULL
CNSC;Sbm22249;2015-12-03 00:00:00.000;NULL
CNSC;Sbm22250;2015-12-03 00:00:00.000;NULL
CNSC;Sbm22251;2015-12-03 00:00:00.000;NULL
CNSC;Sbm22252;2015-12-03 00:00:00.000;NULL
CNSC;Sbm22253;2015-12-03 00:00:00.000;NULL
CNSC;Sbm22256;2015-12-03 00:00:00.000;NULL
CNSC;Sbm22262;2015-12-03 00:00:00.000;NULL
